🗣️ Available Edge TTS Voices:
  - af-ZA-AdriNeural: Female, af-ZA
  - af-ZA-WillemNeural: Male, af-ZA
  - am-ET-AmehaNeural: Male, am-ET
  - am-ET-MekdesNeural: Female, am-ET
  - ar-AE-FatimaNeural: Female, ar-AE
  - ar-AE-HamdanNeural: Male, ar-AE
  - ar-BH-AliNeural: Male, ar-BH
  - ar-BH-LailaNeural: Female, ar-BH
  - ar-DZ-AminaNeural: Female, ar-DZ
  - ar-DZ-IsmaelNeural: Male, ar-DZ
  - ar-EG-SalmaNeural: Female, ar-EG
  - ar-EG-ShakirNeural: Male, ar-EG
  - ar-IQ-BasselNeural: Male, ar-IQ
  - ar-IQ-RanaNeural: Female, ar-IQ
  - ar-JO-SanaNeural: Female, ar-JO
  - ar-JO-TaimNeural: Male, ar-JO
  - ar-KW-FahedNeural: Male, ar-KW
  - ar-KW-NouraNeural: Female, ar-KW
  - ar-LB-LaylaNeural: Female, ar-LB
  - ar-LB-RamiNeural: Male, ar-LB
  - ar-LY-ImanNeural: Female, ar-LY
  - ar-LY-OmarNeural: Male, ar-LY
  - ar-MA-JamalNeural: Male, ar-MA
  - ar-MA-MounaNeural: Female, ar-MA
  - ar-OM-AbdullahNeural: Male, ar-OM
  - ar-OM-AyshaNeural: Female, ar-OM
  - ar-QA-AmalNeural: Female, ar-QA
  - ar-QA-MoazNeural: Male, ar-QA
  - ar-SA-HamedNeural: Male, ar-SA
  - ar-SA-ZariyahNeural: Female, ar-SA
  - ar-SY-AmanyNeural: Female, ar-SY
  - ar-SY-LaithNeural: Male, ar-SY
  - ar-TN-HediNeural: Male, ar-TN
  - ar-TN-ReemNeural: Female, ar-TN
  - ar-YE-MaryamNeural: Female, ar-YE
  - ar-YE-SalehNeural: Male, ar-YE
  - as-IN-PriyomNeural: Male, as-IN
  - as-IN-YashicaNeural: Female, as-IN
  - az-AZ-BabekNeural: Male, az-AZ
  - az-AZ-BanuNeural: Female, az-AZ
  - bg-BG-BorislavNeural: Male, bg-BG
  - bg-BG-KalinaNeural: Female, bg-BG
  - bn-BD-NabanitaNeural: Female, bn-BD
  - bn-BD-PradeepNeural: Male, bn-BD
  - bn-IN-BashkarNeural: Male, bn-IN
  - bn-IN-TanishaaNeural: Female, bn-IN
  - bs-BA-GoranNeural: Male, bs-BA
  - bs-BA-VesnaNeural: Female, bs-BA
  - ca-ES-AlbaNeural: Female, ca-ES
  - ca-ES-EnricNeural: Male, ca-ES
  - ca-ES-JoanaNeural: Female, ca-ES
  - cs-CZ-AntoninNeural: Male, cs-CZ
  - cs-CZ-VlastaNeural: Female, cs-CZ
  - cy-GB-AledNeural: Male, cy-GB
  - cy-GB-NiaNeural: Female, cy-GB
  - da-DK-ChristelNeural: Female, da-DK
  - da-DK-JeppeNeural: Male, da-DK
  - de-AT-IngridNeural: Female, de-AT
  - de-AT-JonasNeural: Male, de-AT
  - de-CH-JanNeural: Male, de-CH
  - de-CH-LeniNeural: Female, de-CH
  - de-DE-AmalaNeural: Female, de-DE
  - de-DE-BerndNeural: Male, de-DE
  - de-DE-ChristophNeural: Male, de-DE
  - de-DE-ConradNeural: Male, de-DE
  - de-DE-ElkeNeural: Female, de-DE
  - de-DE-FlorianMultilingualNeural: Male, de-DE
  - de-DE-GiselaNeural: Female, de-DE
  - de-DE-KasperNeural: Male, de-DE
  - de-DE-KatjaNeural: Female, de-DE
  - de-DE-KillianNeural: Male, de-DE
  - de-DE-KlarissaNeural: Female, de-DE
  - de-DE-KlausNeural: Male, de-DE
  - de-DE-LouisaNeural: Female, de-DE
  - de-DE-MajaNeural: Female, de-DE
  - de-DE-RalfNeural: Male, de-DE
  - de-DE-SeraphinaMultilingualNeural: Female, de-DE
  - de-DE-TanjaNeural: Female, de-DE
  - el-GR-AthinaNeural: Female, el-GR
  - el-GR-NestorasNeural: Male, el-GR
  - en-AU-AnnetteNeural: Female, en-AU
  - en-AU-CarlyNeural: Female, en-AU
  - en-AU-DarrenNeural: Male, en-AU
  - en-AU-DuncanNeural: Male, en-AU
  - en-AU-ElsieNeural: Female, en-AU
  - en-AU-FreyaNeural: Female, en-AU
  - en-AU-JoanneNeural: Female, en-AU
  - en-AU-KenNeural: Male, en-AU
  - en-AU-KimNeural: Female, en-AU
  - en-AU-NatashaNeural: Female, en-AU
  - en-AU-NeilNeural: Male, en-AU
  - en-AU-TimNeural: Male, en-AU
  - en-AU-TinaNeural: Female, en-AU
  - en-AU-WilliamMultilingualNeural: Male, en-AU
  - en-AU-WilliamNeural: Male, en-AU
  - en-CA-ClaraNeural: Female, en-CA
  - en-CA-LiamNeural: Male, en-CA
  - en-GB-AbbiNeural: Female, en-GB
  - en-GB-AdaMultilingualNeural: Female, en-GB
  - en-GB-AlfieNeural: Male, en-GB
  - en-GB-BellaNeural: Female, en-GB
  - en-GB-ElliotNeural: Male, en-GB
  - en-GB-EthanNeural: Male, en-GB
  - en-GB-HollieNeural: Female, en-GB
  - en-GB-LibbyNeural: Female, en-GB
  - en-GB-MaisieNeural: Female, en-GB
  - en-GB-MiaNeural: Female, en-GB
  - en-GB-NoahNeural: Male, en-GB
  - en-GB-OliverNeural: Male, en-GB
  - en-GB-OliviaNeural: Female, en-GB
  - en-GB-OllieMultilingualNeural: Male, en-GB
  - en-GB-RyanNeural: Male, en-GB
  - en-GB-SoniaNeural: Female, en-GB
  - en-GB-ThomasNeural: Male, en-GB
  - en-HK-SamNeural: Male, en-HK
  - en-HK-YanNeural: Female, en-HK
  - en-IE-ConnorNeural: Male, en-IE
  - en-IE-EmilyNeural: Female, en-IE
  - en-IN-AaravNeural: Male, en-IN
  - en-IN-AartiIndicNeural: Female, en-IN
  - en-IN-AartiNeural: Female, en-IN
  - en-IN-AashiNeural: Female, en-IN
  - en-IN-AnanyaNeural: Female, en-IN
  - en-IN-ArjunIndicNeural: Male, en-IN
  - en-IN-ArjunNeural: Male, en-IN
  - en-IN-KavyaNeural: Female, en-IN
  - en-IN-KunalNeural: Male, en-IN
  - en-IN-NeerjaIndicNeural: Female, en-IN
  - en-IN-NeerjaNeural: Female, en-IN
  - en-IN-PrabhatIndicNeural: Male, en-IN
  - en-IN-PrabhatNeural: Male, en-IN
  - en-IN-RehaanNeural: Male, en-IN
  - en-KE-AsiliaNeural: Female, en-KE
  - en-KE-ChilembaNeural: Male, en-KE
  - en-NG-AbeoNeural: Male, en-NG
  - en-NG-EzinneNeural: Female, en-NG
  - en-NZ-MitchellNeural: Male, en-NZ
  - en-NZ-MollyNeural: Female, en-NZ
  - en-PH-JamesNeural: Male, en-PH
  - en-PH-RosaNeural: Female, en-PH
  - en-SG-LunaNeural: Female, en-SG
  - en-SG-WayneNeural: Male, en-SG
  - en-TZ-ElimuNeural: Male, en-TZ
  - en-TZ-ImaniNeural: Female, en-TZ
  - en-US-AIGenerate1Neural: Male, en-US
  - en-US-AIGenerate2Neural: Female, en-US
  - en-US-AdamMultilingualNeural: Male, en-US
  - en-US-AlloyTurboMultilingualNeural: Male, en-US
  - en-US-AmandaMultilingualNeural: Female, en-US
  - en-US-AmberNeural: Female, en-US
  - en-US-AnaNeural: Female, en-US
  - en-US-AndrewMultilingualNeural: Male, en-US
